SPV,CV
3,4
3,6
3,8
3,10
3,12
3,14
3,16
3,18
3,20
3,22
3,24
3,26
3,28
3,30
3,32
3,34
3,36
3,38
3,40
3,42
3,44
3,46
3,48
3,50
5,52
5,54
5,56
5,58
5,60
5,62
5,64
5,66
5,68
5,70
5,72
5,74
5,76
5,78
5,80
5,82
5,84
5,86
5,88
5,90
5,92
5,94
5,96
5,98
5,100
8,102
8,104
8,106
8,108
8,110
8,112
8,114
8,116
8,118
8,120
8,122
8,124
8,126
8,128
8,130
8,132
8,134
8,136
8,138
8,140
12,142
12,144
12,146
12,148
12,150
12,152
12,154
12,156
12,158
12,160
12,162
12,164
12,166
12,168
12,170
20,172
20,174
20,176
20,178
20,180
20,182
20,184
20,186
20,188
20,190
30,192
30,194
30,196
30,198
30,200
