title,p27 - MD results - multiple x,,,,,,
plot_type,grid-line,,,,,,
x_label,Time (ns),,,,,,
color,#000000,,#FD5200,,#0000FF,,#FF8000
label,Radius of Gyration,,Surface Area,,PA,,EHSS
y_labels,Rg (AA),,SASA (A^2),,CCS (A^2),,CCS (A^2)
label_unit,A,,A2,,A2,,A2
axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y
0.002,31.6034,0.002,25319.3046,0.002,4717.72,0.002,6191.36
0.004,31.5625,0.004,25275.9679,0.004,4721.54,0.004,6203.09
0.006,31.5574,0.006,25328.1064,0.006,4730.21,0.006,6215.04
0.008,31.577,0.008,25486.0607,0.008,4725.3,0.008,6204.47
0.01,31.5073,0.01,24683.1453,0.01,4713.78,0.01,6192.15
0.012,31.5084,0.012,25521.4716,0.012,4718.25,0.012,6201.61
0.014,31.5928,0.014,25474.4037,0.014,4721.89,0.014,6200.55
0.016,31.5583,0.016,25939.8645,0.016,4728.9,0.016,6210.24
0.018,31.5555,0.018,25740.7699,0.018,4729.12,0.018,6215.72
0.02,31.6042,0.02,25614.0934,0.02,4731.09,0.02,6212.67
0.022,31.5812,0.022,25801.7813,0.022,4729.68,0.022,6220.49
0.024,31.5129,0.024,25608.2856,0.024,4724.99,0.024,6214.81
0.026,31.5272,0.026,25415.9357,0.026,4728.09,0.026,6230.53
0.028,31.4625,0.028,25325.5762,0.028,4712.63,0.028,6187.33
0.03,31.4957,0.03,25752.8391,0.03,4721.46,0.03,6208.08
0.032,31.506,0.032,25841.0422,0.032,4739.26,0.032,6233.65
0.034,31.474,0.034,25224.2596,0.034,4721.9,0.034,6207.26
0.036,31.4508,0.036,25356.6434,0.036,4720.86,0.036,6201.45
0.038,31.3985,0.038,24960.1628,0.038,4706.98,0.038,6177.62
0.04,31.4013,0.04,25081.3079,0.04,4704.18,0.04,6182.44
0.042,31.4415,0.042,25255.8634,0.042,4714.69,0.042,6196.32
0.044,31.4772,0.044,25322.1539,0.044,4716.9,0.044,6199.92
0.046,31.477,0.046,25524.2084,0.046,4718.75,0.046,6204.15
0.048,31.4969,0.048,25368.1122,0.048,4718.93,0.048,6201.31
0.05,31.5599,0.05,25815.4081,0.05,4724.77,0.05,6213.16
0.052,31.537,0.052,25364.1347,0.052,4727.95,0.052,6215.23
0.054,31.4464,0.054,25590.4649,0.054,4717.64,0.054,6200.37
0.056,31.3773,0.056,25254.6885,0.056,4705.56,0.056,6184.62
0.058,31.3609,0.058,24973.6097,0.058,4718.85,0.058,6209.34
0.06,31.3622,0.06,25029.8552,0.06,4702.64,0.06,6183.29
0.062,31.4092,0.062,24847.1218,0.062,4707.18,0.062,6182.4
