title,Fdc1 @ 350 K - multiple X-axis,,,,,,,,,,,,,
plot_type,multi-line,,,,,,,,,,,,,
x_label,Time (ns),,,,,,,,,,,,,
y_label,Secondary structure (%),,,,,,,,,,,,,
x_unit,ns,,,,,,,,,,,,,
y_unit,%,,,,,,,,,,,,,
color,#000000,,#FD5200,,#0000FF,,#FF8000,,#68D2FB,,#000080,#009F00,,#800080
label,None,,Parallel Beta-sheet,,Anti Beta-sheet,,3-10 helix,,Alpha helix,,Pi(3-14) helix,Turn,,Bend
axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_y,axis_x,axis_y
0.002,0.2643,0.002,0.06312,0.002,0.12722,0.002,0.02761,0.002,0.22682,0.002,0,0.15878,0.002,0.13609
0.004,0.24556,0.004,0.06213,0.004,0.14103,0.004,0.0286,0.004,0.22387,0.004,0,0.15483,0.004,0.14793
0.006,0.24753,0.006,0.06312,0.006,0.13412,0.006,0.02959,0.006,0.22485,0.006,0,0.15385,0.006,0.15089
0.008,0.24753,0.008,0.06805,0.008,0.13807,0.008,0.03156,0.008,0.2288,0.008,0,0.15089,0.008,0.13905
0.01,0.23176,0.01,0.06607,0.01,0.14103,0.01,0.02465,0.01,0.23866,0.01,0,0.15089,0.01,0.15089
0.012,0.2357,0.012,0.06805,0.012,0.13807,0.012,0.03057,0.012,0.23471,0.012,0,0.13905,0.012,0.15779
0.014,0.25838,0.014,0.06213,0.014,0.12623,0.014,0.03254,0.014,0.24556,0.014,0,0.13412,0.014,0.14497
0.016,0.23669,0.016,0.0641,0.016,0.13905,0.016,0.0217,0.016,0.2357,0.016,0,0.14793,0.016,0.15878
0.018,0.24458,0.018,0.06213,0.018,0.13511,0.018,0.02268,0.018,0.23767,0.018,0,0.13412,0.018,0.16765
0.02,0.24655,0.02,0.05621,0.02,0.143,0.02,0.0217,0.02,0.23077,0.02,0,0.15976,0.02,0.14596
0.022,0.24556,0.022,0.0641,0.022,0.13609,0.022,0.01578,0.022,0.23866,0.022,0,0.14892,0.022,0.15483
0.024,0.25247,0.024,0.05621,0.024,0.13807,0.024,0.0355,0.024,0.22091,0.024,0.00493,0.14497,0.024,0.15089
0.026,0.23669,0.026,0.06607,0.026,0.143,0.026,0.02959,0.026,0.22682,0.026,0,0.14892,0.026,0.15286
0.028,0.24458,0.028,0.06114,0.028,0.14201,0.028,0.03057,0.028,0.21696,0.028,0,0.15187,0.028,0.1568
0.03,0.25148,0.03,0.05917,0.03,0.14103,0.03,0.03846,0.03,0.23176,0.03,0,0.13511,0.03,0.14694
0.032,0.25345,0.032,0.05819,0.032,0.13708,0.032,0.03748,0.032,0.22682,0.032,0,0.13807,0.032,0.15286
0.034,0.24458,0.034,0.05917,0.034,0.143,0.034,0.03649,0.034,0.22387,0.034,0,0.15286,0.034,0.14398
0.036,0.24063,0.036,0.06016,0.036,0.14398,0.036,0.03353,0.036,0.22682,0.036,0,0.15779,0.036,0.14103
0.038,0.2357,0.038,0.06607,0.038,0.13905,0.038,0.04142,0.038,0.22485,0.038,0,0.15187,0.038,0.14497
0.04,0.24359,0.04,0.06114,0.04,0.13807,0.04,0.03452,0.04,0.22584,0.04,0,0.14793,0.04,0.15286
0.042,0.24162,0.042,0.05621,0.042,0.14004,0.042,0.02465,0.042,0.2288,0.042,0,0.15878,0.042,0.15385
0.044,0.24162,0.044,0.06509,0.044,0.13807,0.044,0.02761,0.044,0.22978,0.044,0,0.14892,0.044,0.15286
0.046,0.24162,0.046,0.05325,0.046,0.14398,0.046,0.03254,0.046,0.2288,0.046,0,0.15483,0.046,0.14892
0.048,0.2426,0.048,0.06114,0.048,0.13609,0.048,0.01874,0.048,0.23373,0.048,0,0.15286,0.048,0.15878
0.05,0.23471,0.05,0.06213,0.05,0.13905,0.05,0.03353,0.05,0.22485,0.05,0,0.14694,0.05,0.16272
0.052,0.23866,0.052,0.06213,0.052,0.14201,0.052,0.02663,0.052,0.23373,0.052,0,0.14497,0.052,0.15582
0.054,0.2426,0.054,0.06312,0.054,0.13511,0.054,0.02367,0.054,0.22485,0.054,0,0.15976,0.054,0.15483
0.056,0.23964,0.056,0.0641,0.056,0.13905,0.056,0.03156,0.056,0.23176,0.056,0,0.14596,0.056,0.15187
0.058,0.25049,0.058,0.05917,0.058,0.13807,0.058,0.03057,0.058,0.23471,0.058,0,0.14596,0.058,0.14497
0.06,0.24951,0.06,0.05523,0.06,0.14694,0.06,0.03156,0.06,0.21696,0.06,0,0.16568,0.06,0.13807
0.062,0.24063,0.062,0.06114,0.062,0.14201,0.062,0.02663,0.062,0.21795,0.062,0,0.16371,0.062,0.15187
0.064,0.2426,0.064,0.0641,0.064,0.13609,0.064,0.02761,0.064,0.23471,0.064,0,0.14694,0.064,0.15187
0.066,0.25247,0.066,0.06016,0.066,0.14103,0.066,0.0286,0.066,0.22682,0.066,0,0.15385,0.066,0.14103
0.068,0.23669,0.068,0.06016,0.068,0.14398,0.068,0.02564,0.068,0.22091,0.068,0,0.16174,0.068,0.15483
0.07,0.24359,0.07,0.06607,0.07,0.13511,0.07,0.03057,0.07,0.214,0.07,0,0.16963,0.07,0.14497
0.072,0.24458,0.072,0.06213,0.072,0.13807,0.072,0.01775,0.072,0.23176,0.072,0,0.16174,0.072,0.14793
0.074,0.23964,0.074,0.06509,0.074,0.14497,0.074,0.03846,0.074,0.21795,0.074,0,0.15187,0.074,0.14596
0.076,0.24852,0.076,0.05424,0.076,0.14398,0.076,0.02959,0.076,0.21992,0.076,0,0.16667,0.076,0.14103
0.078,0.23077,0.078,0.06213,0.078,0.14596,0.078,0.03057,0.078,0.23964,0.078,0,0.143,0.078,0.15187
0.08,0.23964,0.08,0.06213,0.08,0.14201,0.08,0.03649,0.08,0.214,0.08,0,0.16174,0.08,0.14793
0.082,0.24556,0.082,0.05424,0.082,0.13708,0.082,0.02761,0.082,0.23077,0.082,0,0.14497,0.082,0.16371
0.084,0.2426,0.084,0.06114,0.084,0.13807,0.084,0.02465,0.084,0.21598,0.084,0,0.17258,0.084,0.14892
0.086,0.24753,0.086,0.05819,0.086,0.14004,0.086,0.03846,0.086,0.2288,0.086,0,0.14793,0.086,0.143
0.088,0.2357,0.088,0.06016,0.088,0.13708,0.088,0.01775,0.088,0.22288,0.088,0,0.16864,0.088,0.16174
0.09,0.23471,0.09,0.06706,0.09,0.13609,0.09,0.04142,0.09,0.22682,0.09,0,0.14497,0.09,0.15286
0.092,0.23176,0.092,0.06805,0.092,0.13609,0.092,0.03748,0.092,0.22781,0.092,0,0.143,0.092,0.15976
0.094,0.22978,0.094,0.06607,0.094,0.14398,0.094,0.03452,0.094,0.22781,0.094,0,0.15187,0.094,0.1499
0.096,0.2426,0.096,0.05917,0.096,0.13511,0.096,0.02367,0.096,0.22387,0.096,0,0.16469,0.096,0.15483
0.098,0.24063,0.098,0.06312,0.098,0.13905,0.098,0.03353,0.098,0.22584,0.098,0,0.15286,0.098,0.14892
0.1,0.23471,0.1,0.06213,0.1,0.13905,0.1,0.02465,0.1,0.22387,0.1,0,0.16075,0.1,0.15878
0.102,0.25049,0.102,0.04832,0.102,0.14497,0.102,0.02367,0.102,0.22288,0.102,0,0.16272,0.102,0.15089
0.104,0.23669,0.104,0.06312,0.104,0.13905,0.104,0.03748,0.104,0.2288,0.104,0,0.14793,0.104,0.15089
