title,Global CCS comparison,,,,,
plot_type,waterfall,,,,,
x_label,CCS,,,,,
y_label,Intensity,,,,,
label,p27-C,p27-KID,p27-FL,Cdk2/Cyclin A,Cdk2/Cyclin A/p27-KID,Cdk2/Cyclin A/p27-FL
color,#0A5F38,#455189,#BD2817,#7E2DBC,#DC5800,#00CBCC
500,0,0,0,0,0,0
550,0,0,6.47E-06,0,0,0
600,0,0,2.47E-05,0,0,0
650,0,0,4.31E-05,0,0,0
700,0,0,3.39E-05,0,0,0
750,0,0.00649,1.56E-05,0,0,0
800,0.00456,0.04348,0,0,0,0
850,0.0189,0.19658,0,0,0,0
900,0.155,0.40733,0,0,0,0
950,0.396,0.45917,7.77E-07,0,0,0
1000,0.74,0.46974,2.22E-06,0,0,0
1050,0.968,0.4619,3.66E-06,0,0,0
1100,1,0.51058,5.10E-06,0,0,0
1150,0.68,0.55445,6.53E-06,0,0,0
1200,0.416,0.58742,1.18E-05,0,0,0
1250,0.256,0.59008,2.28E-05,0,0,0
1300,0.19,0.59141,5.36E-05,0,0,0
1350,0.181,0.61656,0.00167,0,0,0
1400,0.194,0.65038,0.00376,0,0,0
1450,0.205,0.69683,0.01256,0,0,0
1500,0.212,0.69584,0.03959,0,0,0
1550,0.226,0.72018,0.06618,0,0,0
1600,0.249,0.73004,0.09717,0,0,0
1650,0.296,0.81572,0.13592,0,0,0
1700,0.325,0.93678,0.17574,0,0,0
1750,0.339,0.992,0.20068,0,0,0
1800,0.342,1,0.22276,0,0,0
1850,0.334,0.96938,0.25175,0,0,0
1900,0.345,0.83658,0.28171,0,0,0
1950,0.334,0.66662,0.30795,0,0,0
2000,0.309,0.52949,0.32749,0,0,0
2050,0.282,0.35079,0.34606,0,0,0
2100,0.284,0.19626,0.36779,0,0,0
2150,0.261,0.08861,0.39346,0,0,0
2200,0.233,0.04698,0.41716,0,0,0
2250,0.178,0.02135,0.43872,0,0,0
2300,0.136,0.00981,0.4593,0,0,0
2350,0.106,0.00763,0.47681,0,0,0
2400,0.106,0.00542,0.50422,0,0,0
2450,0.106,0.00244,0.52896,0,0,0
2500,0.0972,8.78E-04,0.55723,0,0,0
2550,0.0961,6.97E-04,0.56843,0,0,0
2600,0.0768,5.51E-04,0.57641,0,0,0
2650,0.0584,7.64E-04,0.57896,0,0,0
2700,0.0424,9.45E-04,0.57216,0,0,0
2750,0.0309,0.00112,0.5648,0,0,0
2800,0.016,0.00104,0.56352,0,0,0
2850,0.0105,3.34E-04,0.56104,0,0,0
2900,0.00364,1.54E-04,0.56328,0,0,0
2950,0,0,0.57102,0,0,0
3000,0,0,0.60311,0.0014,0,0
3050,0,0,0.64352,0.00202,9.17E-04,0
3100,0,0,0.67806,0.00412,0.00188,0
3150,0,0,0.69757,0.01639,0.00285,0
3200,0,0,0.72294,0.03183,0.00381,0
3250,0,0.00126,0.74671,0.04727,0.00735,0
3300,0,0.00203,0.78453,0.06272,0.01239,0
3350,0,0.00212,0.81349,0.09797,0.01913,0
3400,0,0.00139,0.84262,0.23167,0.03065,0
3450,0,0,0.87425,0.39183,0.06099,0.00116
