title,p27 - MD results,,,
plot_type,grid-line,,,
x_label,Time (ns),,,
color,#000000,#FD5200,#0000FF,#FF8000
label,Radius of Gyration,Surface Area,PA,EHSS
y_labels,Rg (AA),SASA (A^2),CCS (A^2),CCS (A^2)
label_unit,A,A2,A2,A2
axis_x,axis_y,axis_y,axis_y,axis_y
0.002,31.6034,25319.3046,4717.72,6191.36
0.004,31.5625,25275.9679,4721.54,6203.09
0.006,31.5574,25328.1064,4730.21,6215.04
0.008,31.577,25486.0607,4725.3,6204.47
0.01,31.5073,24683.1453,4713.78,6192.15
0.012,31.5084,25521.4716,4718.25,6201.61
0.014,31.5928,25474.4037,4721.89,6200.55
0.016,31.5583,25939.8645,4728.9,6210.24
0.018,31.5555,25740.7699,4729.12,6215.72
0.02,31.6042,25614.0934,4731.09,6212.67
0.022,31.5812,25801.7813,4729.68,6220.49
0.024,31.5129,25608.2856,4724.99,6214.81
0.026,31.5272,25415.9357,4728.09,6230.53
0.028,31.4625,25325.5762,4712.63,6187.33
0.03,31.4957,25752.8391,4721.46,6208.08
0.032,31.506,25841.0422,4739.26,6233.65
0.034,31.474,25224.2596,4721.9,6207.26
0.036,31.4508,25356.6434,4720.86,6201.45
0.038,31.3985,24960.1628,4706.98,6177.62
0.04,31.4013,25081.3079,4704.18,6182.44
0.042,31.4415,25255.8634,4714.69,6196.32
0.044,31.4772,25322.1539,4716.9,6199.92
0.046,31.477,25524.2084,4718.75,6204.15
0.048,31.4969,25368.1122,4718.93,6201.31
0.05,31.5599,25815.4081,4724.77,6213.16
0.052,31.537,25364.1347,4727.95,6215.23
0.054,31.4464,25590.4649,4717.64,6200.37
0.056,31.3773,25254.6885,4705.56,6184.62
0.058,31.3609,24973.6097,4718.85,6209.34
0.06,31.3622,25029.8552,4702.64,6183.29
0.062,31.4092,24847.1218,4707.18,6182.4
0.064,31.3768,25201.0215,4717.99,6202.49
0.066,31.4185,24944.122,4713.48,6198.79
0.068,31.4177,24833.256,4712.37,6194.87
0.07,31.5047,25310.3539,4740.67,6237.1
0.072,31.525,24928.0505,4723.06,6200.7
0.074,31.5073,25513.8238,4732.23,6216.62
0.076,31.4803,25323.8947,4724.62,6213.87
0.078,31.4846,25281.6953,4723.76,6207.83
0.08,31.4706,24817.9715,4716.1,6192.56
0.082,31.427,25448.6222,4714.24,6190.91
0.084,31.3668,25194.2536,4709.08,6195.39
0.086,31.3511,25695.4012,4725.12,6217.45
0.088,31.3278,24748.4395,4703.05,6185.83
