title,Global CCS comparison - with tags - multiple x,,,,,,,,,,
plot_type,waterfall,,,,,,,,,,
x_label,CCS,,,,,,,,,,
y_label,Intensity,,,,,,,,,,
label,p27-C,,p27-KID,,p27-FL,,Cdk2/Cyclin A,,Cdk2/Cyclin A/p27-KID,,Cdk2/Cyclin A/p27-FL
color,#0A5F38,,#455189,,#BD2817,,#7E2DBC,,#DC5800,,#00CBCC
axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y
500,0,500,0,500,0,500,0,500,0,500,0
550,0,550,0,550,6.47E-06,550,0,550,0,550,0
600,0,600,0,600,2.47E-05,600,0,600,0,600,0
650,0,650,0,650,4.31E-05,650,0,650,0,650,0
700,0,700,0,700,3.39E-05,700,0,700,0,700,0
750,0,750,0.00649,750,1.56E-05,750,0,750,0,750,0
800,0.00456,800,0.04348,800,0,800,0,800,0,800,0
850,0.0189,850,0.19658,850,0,850,0,850,0,850,0
900,0.155,900,0.40733,900,0,900,0,900,0,900,0
950,0.396,950,0.45917,950,7.77E-07,950,0,950,0,950,0
1000,0.74,1000,0.46974,1000,2.22E-06,1000,0,1000,0,1000,0
1050,0.968,1050,0.4619,1050,3.66E-06,1050,0,1050,0,1050,0
1100,1,1100,0.51058,1100,5.10E-06,1100,0,1100,0,1100,0
1150,0.68,1150,0.55445,1150,6.53E-06,1150,0,1150,0,1150,0
1200,0.416,1200,0.58742,1200,1.18E-05,1200,0,1200,0,1200,0
1250,0.256,1250,0.59008,1250,2.28E-05,1250,0,1250,0,1250,0
1300,0.19,1300,0.59141,1300,5.36E-05,1300,0,1300,0,1300,0
1350,0.181,1350,0.61656,1350,0.00167,1350,0,1350,0,1350,0
1400,0.194,1400,0.65038,1400,0.00376,1400,0,1400,0,1400,0
1450,0.205,1450,0.69683,1450,0.01256,1450,0,1450,0,1450,0
1500,0.212,1500,0.69584,1500,0.03959,1500,0,1500,0,1500,0
1550,0.226,1550,0.72018,1550,0.06618,1550,0,1550,0,1550,0
1600,0.249,1600,0.73004,1600,0.09717,1600,0,1600,0,1600,0
1650,0.296,1650,0.81572,1650,0.13592,1650,0,1650,0,1650,0
