NIST ,intact
4001.71,0
4001.73,0
4001.76,0
4001.79,0
4001.82,0
4001.84,0
4001.87,0
4001.9,0
4001.93,0
4001.96,1.48E-04
4002.04,1.57E-04
4002.07,0.00207
4002.12,0.00449
4002.15,0.00643
4002.18,0.00535
4002.21,0.00299
4002.23,7.95E-04
4002.32,3.70E-05
4002.34,3.70E-05
4002.37,0
4002.4,0
4002.43,1.33E-04
4002.54,0.00188
4002.59,0.00538
4002.62,0.00888
4002.65,0.00941
4002.68,0.00682
4002.7,0.00316
4002.73,3.51E-04
4002.84,4.44E-05
4002.87,0
4002.9,0
4003.81,0
4003.84,0
4003.87,1.48E-05
4003.9,8.87E-05
4003.98,4.66E-04
4004.03,0.0022
4004.06,0.00414
4004.09,0.00529
4004.12,0.00379
4004.14,0.00183
4004.17,2.11E-04
4004.25,1.33E-04
4004.28,2.22E-05
4004.31,4.21E-04
4004.39,0.00128
4004.45,0.00719
4004.48,0.01399
4004.5,0.01852
4004.53,0.01347
4004.56,0.00663
4004.59,8.92E-04
4004.67,4.88E-04
4004.7,0
4004.73,0
4004.95,0
4004.97,0
4005,1.11E-04
4005.11,0.00102
4005.17,0.00781
4005.2,0.01572
4005.22,0.02132
4005.25,0.02051
4005.28,0.01412
4005.34,0.00827
4005.36,0.00494
4005.39,0.00266
4005.42,0.00183
4005.45,7.84E-04
4005.58,3.33E-04
4005.61,0.00305
4005.67,0.00639
4005.7,0.00895
4005.72,0.00707
4005.75,0.00379
4005.78,8.43E-04
4005.86,1.33E-04
4005.89,2.96E-05
4005.92,0
4005.95,0
4005.97,0
4006,0
4006.03,1.92E-04
4006.11,3.84E-04
4006.14,0.00259
4006.19,0.00519
4006.22,0.00706
4006.25,0.00519
4006.28,0.00259
4006.31,3.84E-04
4006.39,1.92E-04
4006.42,0
4006.44,0
4007.28,0
4007.3,0
4007.33,9.61E-05
4007.44,0.00148
4007.5,0.00337
4007.52,0.00802
4007.55,0.01391
4007.58,0.01817
4007.61,0.02184
4007.64,0.02078
4007.66,0.0128
4007.69,0.00539
4007.72,2.16E-04
4007.8,3.99E-04
4007.89,0.00114
4007.94,0.00389
4007.97,0.00676
4008,0.00785
4008.02,0.00539
4008.05,0.00241
4008.08,1.18E-04
4008.16,1.70E-04
4008.19,0
4008.22,0
4008.74,0
4008.77,0
4008.8,1.55E-04
4008.88,3.11E-04
4008.91,0.0021
4008.97,0.00419
4008.99,0.0057
4009.02,0.00419
4009.05,0.0021
4009.08,3.11E-04
4009.16,1.55E-04
4009.19,0
4009.21,0
4009.24,0
4009.27,0
4009.3,7.39E-06
4009.33,3.62E-04
4009.41,8.69E-04
4009.47,0.00539
4009.49,0.01065
4009.52,0.01433
4009.55,0.01048
4009.58,0.0052
4009.6,7.41E-04
4009.69,3.84E-04
4009.72,0
4009.74,0
4009.94,0
4009.96,0
4009.99,5.91E-05
4010.1,9.61E-04
4010.16,0.00269
4010.19,0.00437
4010.21,0.00459
4010.24,0.00309
4010.27,9.27E-04
4010.35,0.00111
4010.38,0.00268
4010.41,0.00353
4010.44,0.00259
4010.46,0.0013
4010.49,1.92E-04
4010.57,9.61E-05
4010.6,0
4010.63,0
4010.68,0
4010.71,0
4010.74,2.00E-04
4010.82,3.99E-04
4010.85,0.00269
4010.91,0.00554
4010.93,0.00706
4010.96,0.00423
4010.99,0.00228
4011.02,0.00288
4011.05,0.00604
4011.07,0.01029
4011.1,0.01145
4011.13,0.00729
4011.16,0.00291
4011.27,2.22E-05
4011.32,2.22E-05
4011.35,0.00101
4011.41,0.00247
4011.43,0.00176
4011.46,0.00138
4011.49,0.00325
4011.54,0.00772
4011.57,0.01328
4011.6,0.01685
4011.63,0.01225
4011.66,0.00592
4011.68,6.63E-04
4011.77,4.29E-04
4011.8,0
4011.82,0
4011.85,0
4011.88,9.61E-05
4011.96,1.92E-04
4011.99,0.0013
4012.04,0.00259
4012.07,0.00353
4012.1,0.00259
4012.13,0.0013
4012.15,1.92E-04
4012.24,9.61E-05
4012.27,0
4012.29,0
4012.32,1.77E-04
4012.41,2.72E-04
4012.43,0.00244
4012.49,0.00509
4012.52,0.00712
4012.54,0.00561
4012.57,0.00299
4012.6,6.54E-04
4012.68,1.11E-04
4012.71,2.22E-05
4012.74,0
4012.77,0
4013.62,0
4013.65,0
4013.68,4.44E-05
4013.79,8.43E-04
4013.85,0.00268
4013.87,0.00371
4013.9,0.00435
4013.93,0.00428
4013.96,0.00508
4013.99,0.00659
4014.01,0.00754
4014.04,0.00542
4014.07,0.00277
4014.1,2.46E-04
4014.18,1.92E-04
4014.21,0
4014.24,0
4014.26,0
4014.29,0
4014.32,5.17E-05
4014.43,8.61E-04
4014.48,0.00249
4014.51,0.0041
4014.54,0.00439
4014.57,0.00289
4014.6,0.0012
4014.71,8.13E-05
4014.74,0
4014.76,0
