Protein,MW,Charge,m/z,HePos,N2Pos,HeNeg,N2Neg,State,Source,Subunits
melittin,2800,3,934,581,,,,Native,Bush,1
melittin,2800,4,701,588,,,,Native,Bush,1
melittin,2800,5,561,613,,,,Native,Bush,1
insulin,5800,3,1934,757,,,,Native,Bush,1
insulin,5800,4,1451,772,,,,Native,Bush,1
ubiquitin,8600,4,2151,972,,,,Native,Bush,1
ubiquitin,8600,5,1721,983,,,,Native,Bush,1
ubiquitin,8600,6,1434,1000,,,,Native,Bush,1
insulin,12000,5,2401,1260,,,,Native,Bush,2
insulin,12000,6,2001,1290,,,,Native,Bush,2
cytochrome c,12000,6,2001,1240,1490,,,Native,Bush,1
cytochrome c,12000,7,1715,1280,1590,,,Native,Bush,1
b-lactoglobulin,18000,7,2572,1660,1950,,,Native,Bush,1
b-lactoglobulin,18000,8,2251,1690,2030,,,Native,Bush,1
b-lactoglobulin,18000,9,2001,1780,,,,Native,Bush,1
insulin,36000,9,4001,2440,,,,Native,Bush,6
insulin,36000,10,3601,2430,,,,Native,Bush,6
insulin,36000,11,3274,2440,,,,Native,Bush,6
b-lactoglobulin,37000,11,3365,2850,3230,,,Native,Bush,2
b-lactoglobulin,37000,12,3084,2900,3310,,,Native,Bush,2
b-lactoglobulin,37000,13,2847,2960,3430,,,Native,Bush,2
transthyretin,56000,14,4001,3410,3840,,,Native,Bush,4
transthyretin,56000,15,3734,3400,3850,,,Native,Bush,4
transthyretin,56000,16,3501,3380,3880,,,Native,Bush,4
avidin,64000,15,4268,3640,4150,,,Native,Bush,4
avidin,64000,16,4001,3640,4150,,,Native,Bush,4
avidin,64000,17,3766,3640,4160,,,Native,Bush,4
avidin,64000,18,3557,3640,,,,Native,Bush,4
serum albumin,66000,14,4715,4090,4490,,,Native,Bush,1
serum albumin,66000,15,4401,4100,4490,,,Native,Bush,1
serum albumin,66000,16,4126,4060,4470,,,Native,Bush,1
serum albumin,66000,17,3883,4040,4490,,,Native,Bush,1
concanavalin a,103000,19,5422,,6060,,,Native,Bush,4
concanavalin a,103000,20,5151,5550,6080,,,Native,Bush,4
concanavalin a,103000,21,4906,5550,6090,,,Native,Bush,4
concanavalin a,103000,22,4683,5480,6050,,,Native,Bush,4
concanavalin a,103000,23,4479,5450,,,,Native,Bush,4
serum amyloid p,125000,22,5683,7030,7630,,,Native,Bush,5
serum amyloid p,125000,23,5436,6970,7600,,,Native,Bush,5
serum amyloid p,125000,24,5209,6930,7460,,,Native,Bush,5
serum amyloid p,125000,25,5001,6860,7310,,,Native,Bush,5
serum amyloid p,125000,26,4809,6830,7280,,,Native,Bush,5
alcohol dehydogenase,148000,23,6436,6940,7420,,,Native,Bush,4
alcohol dehydogenase,148000,24,6168,6940,7450,,,Native,Bush,4
alcohol dehydogenase,148000,25,5921,6830,7440,,,Native,Bush,4
alcohol dehydogenase,148000,26,5693,6720,7500,,,Native,Bush,4
pyruvate kinase,237000,30,7901,10300,,,,Native,Bush,4
pyruvate kinase,237000,31,7646,10300,11100,,,Native,Bush,4
pyruvate kinase,237000,32,7407,10300,11100,,,Native,Bush,4
pyruvate kinase,237000,33,7183,10200,11000,,,Native,Bush,4
pyruvate kinase,237000,34,6972,10200,11000,,,Native,Bush,4
pyruvate kinase,237000,35,6772,10000,11000,,,Native,Bush,4
serum amyloid p,250000,31,8066,10400,11100,,,Native,Bush,10
serum amyloid p,250000,32,7814,10500,11200,,,Native,Bush,10
serum amyloid p,250000,33,7577,10600,11200,,,Native,Bush,10
serum amyloid p,250000,34,7354,10500,11100,,,Native,Bush,10
serum amyloid p,250000,35,7144,10700,,,,Native,Bush,10
glutamate dehydrogenase,336000,37,9082,,13400,,,Native,Bush,6
glutamate dehydrogenase,336000,38,8843,12800,13400,,,Native,Bush,6
glutamate dehydrogenase,336000,39,8616,12800,13400,,,Native,Bush,6
glutamate dehydrogenase,336000,40,8401,12800,13400,,,Native,Bush,6
glutamate dehydrogenase,336000,41,8196,12800,13500,,,Native,Bush,6
glutamate dehydrogenase,336000,42,8001,12800,,,,Native,Bush,6
glutamate dehydrogenase,336000,43,7815,12800,,,,Native,Bush,6
groel,801000,65,12324,,21800,,,Native,Bush,14
groel,801000,66,12137,,22000,,,Native,Bush,14
groel,801000,67,11956,20900,22000,,,Native,Bush,14
groel,801000,68,11780,20900,21900,,,Native,Bush,14
groel,801000,69,11610,20700,21900,,,Native,Bush,14
groel,801000,70,11444,20700,21800,,,Native,Bush,14
groel,801000,71,11283,20600,21900,,,Native,Bush,14
groel,801000,72,11126,20700,,,,Native,Bush,14
ubiquitin,8000,7,1144,,1910,,,Denatured,Bush,1
ubiquitin,8000,8,1001,,1990,,,Denatured,Bush,1
ubiquitin,8000,9,890,1670,2090,,,Denatured,Bush,1
ubiquitin,8000,10,801,1730,2200,,,Denatured,Bush,1
ubiquitin,8000,11,728,1800,2340,,,Denatured,Bush,1
ubiquitin,8000,12,668,1890,2480,,,Denatured,Bush,1
ubiquitin,8000,13,616,1980,2600,,,Denatured,Bush,1
cytochrome c,12000,13,924,,3080,,,Denatured,Bush,1
cytochrome c,12000,14,858,2520,3200,,,Denatured,Bush,1
cytochrome c,12000,15,801,2600,3330,,,Denatured,Bush,1
cytochrome c,12000,16,751,2670,3450,,,Denatured,Bush,1
cytochrome c,12000,17,707,2740,3600,,,Denatured,Bush,1
cytochrome c,12000,18,668,2800,3670,,,Denatured,Bush,1
cytochrome c,12000,19,633,2870,3790,,,Denatured,Bush,1
cytochrome c,12000,20,601,2920,,,,Denatured,Bush,1
apo myoglobin,17000,15,1134,,4060,,,Denatured,Bush,1
apo myoglobin,17000,16,1064,,4180,,,Denatured,Bush,1
apo myoglobin,17000,17,1001,,4310,,,Denatured,Bush,1
apo myoglobin,17000,18,945,3520,4440,,,Denatured,Bush,1
apo myoglobin,17000,19,896,3600,4570,,,Denatured,Bush,1
apo myoglobin,17000,20,851,3680,4700,,,Denatured,Bush,1
apo myoglobin,17000,21,811,3750,4820,,,Denatured,Bush,1
apo myoglobin,17000,22,774,3820,4920,,,Denatured,Bush,1
apo myoglobin,17000,23,740,3870,5010,,,Denatured,Bush,1
apo myoglobin,17000,24,709,3920,5090,,,Denatured,Bush,1
apo myoglobin,17000,25,681,3960,,,,Denatured,Bush,1
apo myoglobin,17000,26,655,4000,,,,Denatured,Bush,1
a3,231.1,1,232,89,151,,,Polyalanine,Bush,3
a4,302.2,1,303,100,166,,,Polyalanine,Bush,4
a5,373.2,1,374,114,181,,,Polyalanine,Bush,5
a6,444.2,1,445,128,195,,,Polyalanine,Bush,6
a7,515.3,1,516,141,211,,,Polyalanine,Bush,7
a8,586.3,1,587,157,228,,,Polyalanine,Bush,8
a9,657.3,1,658,170,243,,,Polyalanine,Bush,9
a10,728.4,1,729,181,256,,,Polyalanine,Bush,10
a11,799.4,1,800,194,271,,,Polyalanine,Bush,11
a12,870.5,1,872,206,282,,,Polyalanine,Bush,12
a13,941.5,1,943,217,294,,,Polyalanine,Bush,13
a14,1012.5,1,1014,228,306,,,Polyalanine,Bush,14
a11,799.4,2,401,197,296,,,Polyalanine,Bush,11
a12,870.5,2,436,208,309,,,Polyalanine,Bush,12
a13,941.5,2,472,220,320,,,Polyalanine,Bush,13
a14,1012.5,2,507,232,333,,,Polyalanine,Bush,14
a15,1083.6,2,543,243,344,,,Polyalanine,Bush,15
a16,1154.6,2,578,255,357,,,Polyalanine,Bush,16
a17,1225.6,2,614,265,369,,,Polyalanine,Bush,17
a18,1296.7,2,649,276,380,,,Polyalanine,Bush,18
a19,1367.7,2,685,287,393,,,Polyalanine,Bush,19
a20,1438.8,2,720,297,404,,,Polyalanine,Bush,20
a21,1509.8,2,756,308,416,,,Polyalanine,Bush,21
a22,1580.8,2,791,317,428,,,Polyalanine,Bush,22
a23,1651.9,2,827,327,437,,,Polyalanine,Bush,23
a24,1722.9,2,862,337,448,,,Polyalanine,Bush,24
a25,1793.9,2,898,348,458,,,Polyalanine,Bush,25
a26,1865,2,934,358,470,,,Polyalanine,Bush,26
a19,1367.7,3,457,338,482,,,Polyalanine,Bush,19
a20,1438.8,3,481,348,491,,,Polyalanine,Bush,20
a21,1509.8,3,504,361,501,,,Polyalanine,Bush,21
a22,1580.8,3,528,373,518,,,Polyalanine,Bush,22
a23,1651.9,3,552,386,532,,,Polyalanine,Bush,23
a24,1722.9,3,575,399,545,,,Polyalanine,Bush,24
a25,1793.9,3,599,412,561,,,Polyalanine,Bush,25
a26,1865,3,623,425,576,,,Polyalanine,Bush,26
a27,1936,3,646,438,592,,,Polyalanine,Bush,27
a28,2007,3,670,452,606,,,Polyalanine,Bush,28
a29,2078.1,3,694,465,621,,,Polyalanine,Bush,29
a30,2149.1,3,717,479,634,,,Polyalanine,Bush,30
a31,2220.2,3,741,490,649,,,Polyalanine,Bush,31
a32,2291.2,3,765,502,666,,,Polyalanine,Bush,32
a33,2362.2,3,788,516,674,,,Polyalanine,Bush,33
n-ethylaniline,122.1,1,123,63,124.5,,,Drug,Bush,1
acetaminophen,152.1,1,153,67,130.4,,,Drug,Bush,1
alprenolol,250.3,1,251,96.9,157.5,,,Drug,Bush,1
ondansetron,294.2,1,295,105.9,172.7,,,Drug,Bush,1
clozapine n-oxide,343.2,1,344,112.5,180.6,,,Drug,Bush,1
colchicine,400.3,1,401,130.8,196.2,,,Drug,Bush,1
verapamil,455.4,1,456,142.6,210,,,Drug,Bush,1
reserpine,609.4,1,610,178.8,254.3,,,Drug,Bush,1
