Protein,MW,Charge,m/z,HePos,N2Pos,HeNeg,N2Neg,State,Source,Subunits
a3,231.1,1,232,89,151,,,Polyalanine,Bush,3
a4,302.2,1,303,100,166,,,Polyalanine,Bush,4
a5,373.2,1,374,114,181,,,Polyalanine,Bush,5
a6,444.2,1,445,128,195,,,Polyalanine,Bush,6
a7,515.3,1,516,141,211,,,Polyalanine,Bush,7
a8,586.3,1,587,157,228,,,Polyalanine,Bush,8
a9,657.3,1,658,170,243,,,Polyalanine,Bush,9
a10,728.4,1,729,181,256,,,Polyalanine,Bush,10
a11,799.4,1,800,194,271,,,Polyalanine,Bush,11
a12,870.5,1,872,206,282,,,Polyalanine,Bush,12
a13,941.5,1,943,217,294,,,Polyalanine,Bush,13
a14,1012.5,1,1014,228,306,,,Polyalanine,Bush,14
a11,799.4,2,401,197,296,,,Polyalanine,Bush,11
a12,870.5,2,436,208,309,,,Polyalanine,Bush,12
a13,941.5,2,472,220,320,,,Polyalanine,Bush,13
a14,1012.5,2,507,232,333,,,Polyalanine,Bush,14
a15,1083.6,2,543,243,344,,,Polyalanine,Bush,15
a16,1154.6,2,578,255,357,,,Polyalanine,Bush,16
a17,1225.6,2,614,265,369,,,Polyalanine,Bush,17
a18,1296.7,2,649,276,380,,,Polyalanine,Bush,18
a19,1367.7,2,685,287,393,,,Polyalanine,Bush,19
a20,1438.8,2,720,297,404,,,Polyalanine,Bush,20
a21,1509.8,2,756,308,416,,,Polyalanine,Bush,21
a22,1580.8,2,791,317,428,,,Polyalanine,Bush,22
a23,1651.9,2,827,327,437,,,Polyalanine,Bush,23
a24,1722.9,2,862,337,448,,,Polyalanine,Bush,24
a25,1793.9,2,898,348,458,,,Polyalanine,Bush,25
a26,1865,2,934,358,470,,,Polyalanine,Bush,26
a19,1367.7,3,457,338,482,,,Polyalanine,Bush,19
a20,1438.8,3,481,348,491,,,Polyalanine,Bush,20
a21,1509.8,3,504,361,501,,,Polyalanine,Bush,21
a22,1580.8,3,528,373,518,,,Polyalanine,Bush,22
a23,1651.9,3,552,386,532,,,Polyalanine,Bush,23
a24,1722.9,3,575,399,545,,,Polyalanine,Bush,24
a25,1793.9,3,599,412,561,,,Polyalanine,Bush,25
a26,1865,3,623,425,576,,,Polyalanine,Bush,26
a27,1936,3,646,438,592,,,Polyalanine,Bush,27
a28,2007,3,670,452,606,,,Polyalanine,Bush,28
a29,2078.1,3,694,465,621,,,Polyalanine,Bush,29
a30,2149.1,3,717,479,634,,,Polyalanine,Bush,30
a31,2220.2,3,741,490,649,,,Polyalanine,Bush,31
a32,2291.2,3,765,502,666,,,Polyalanine,Bush,32
a33,2362.2,3,788,516,674,,,Polyalanine,Bush,33
