title,Fdc1 @ 350 K,,,,,,,
plot_type,multi-line,,,,,,,
x_label,Time (ns),,,,,,,
y_label,Secondary structure (%),,,,,,,
x_unit,ns,,,,,,,
y_unit,%,,,,,,,
color,#000000,#FD5200,#0000FF,#FF8000,#68D2FB,#000080,#009F00,#800080
label,None,Parallel Beta-sheet,Anti Beta-sheet,3-10 helix,Alpha helix,Pi(3-14) helix,Turn,Bend
axis_x,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y
0.002,0.2643,0.06312,0.12722,0.02761,0.22682,0,0.15878,0.13609
0.004,0.24556,0.06213,0.14103,0.0286,0.22387,0,0.15483,0.14793
0.006,0.24753,0.06312,0.13412,0.02959,0.22485,0,0.15385,0.15089
0.008,0.24753,0.06805,0.13807,0.03156,0.2288,0,0.15089,0.13905
0.01,0.23176,0.06607,0.14103,0.02465,0.23866,0,0.15089,0.15089
0.012,0.2357,0.06805,0.13807,0.03057,0.23471,0,0.13905,0.15779
0.014,0.25838,0.06213,0.12623,0.03254,0.24556,0,0.13412,0.14497
0.016,0.23669,0.0641,0.13905,0.0217,0.2357,0,0.14793,0.15878
0.018,0.24458,0.06213,0.13511,0.02268,0.23767,0,0.13412,0.16765
0.02,0.24655,0.05621,0.143,0.0217,0.23077,0,0.15976,0.14596
0.022,0.24556,0.0641,0.13609,0.01578,0.23866,0,0.14892,0.15483
0.024,0.25247,0.05621,0.13807,0.0355,0.22091,0.00493,0.14497,0.15089
0.026,0.23669,0.06607,0.143,0.02959,0.22682,0,0.14892,0.15286
0.028,0.24458,0.06114,0.14201,0.03057,0.21696,0,0.15187,0.1568
0.03,0.25148,0.05917,0.14103,0.03846,0.23176,0,0.13511,0.14694
0.032,0.25345,0.05819,0.13708,0.03748,0.22682,0,0.13807,0.15286
0.034,0.24458,0.05917,0.143,0.03649,0.22387,0,0.15286,0.14398
0.036,0.24063,0.06016,0.14398,0.03353,0.22682,0,0.15779,0.14103
0.038,0.2357,0.06607,0.13905,0.04142,0.22485,0,0.15187,0.14497
0.04,0.24359,0.06114,0.13807,0.03452,0.22584,0,0.14793,0.15286
0.042,0.24162,0.05621,0.14004,0.02465,0.2288,0,0.15878,0.15385
0.044,0.24162,0.06509,0.13807,0.02761,0.22978,0,0.14892,0.15286
0.046,0.24162,0.05325,0.14398,0.03254,0.2288,0,0.15483,0.14892
0.048,0.2426,0.06114,0.13609,0.01874,0.23373,0,0.15286,0.15878
0.05,0.23471,0.06213,0.13905,0.03353,0.22485,0,0.14694,0.16272
0.052,0.23866,0.06213,0.14201,0.02663,0.23373,0,0.14497,0.15582
0.054,0.2426,0.06312,0.13511,0.02367,0.22485,0,0.15976,0.15483
0.056,0.23964,0.0641,0.13905,0.03156,0.23176,0,0.14596,0.15187
0.058,0.25049,0.05917,0.13807,0.03057,0.23471,0,0.14596,0.14497
0.06,0.24951,0.05523,0.14694,0.03156,0.21696,0,0.16568,0.13807
0.062,0.24063,0.06114,0.14201,0.02663,0.21795,0,0.16371,0.15187
0.064,0.2426,0.0641,0.13609,0.02761,0.23471,0,0.14694,0.15187
0.066,0.25247,0.06016,0.14103,0.0286,0.22682,0,0.15385,0.14103
0.068,0.23669,0.06016,0.14398,0.02564,0.22091,0,0.16174,0.15483
0.07,0.24359,0.06607,0.13511,0.03057,0.214,0,0.16963,0.14497
0.072,0.24458,0.06213,0.13807,0.01775,0.23176,0,0.16174,0.14793
0.074,0.23964,0.06509,0.14497,0.03846,0.21795,0,0.15187,0.14596
0.076,0.24852,0.05424,0.14398,0.02959,0.21992,0,0.16667,0.14103
0.078,0.23077,0.06213,0.14596,0.03057,0.23964,0,0.143,0.15187
0.08,0.23964,0.06213,0.14201,0.03649,0.214,0,0.16174,0.14793
0.082,0.24556,0.05424,0.13708,0.02761,0.23077,0,0.14497,0.16371
0.084,0.2426,0.06114,0.13807,0.02465,0.21598,0,0.17258,0.14892
0.086,0.24753,0.05819,0.14004,0.03846,0.2288,0,0.14793,0.143
0.088,0.2357,0.06016,0.13708,0.01775,0.22288,0,0.16864,0.16174
0.09,0.23471,0.06706,0.13609,0.04142,0.22682,0,0.14497,0.15286
0.092,0.23176,0.06805,0.13609,0.03748,0.22781,0,0.143,0.15976
0.094,0.22978,0.06607,0.14398,0.03452,0.22781,0,0.15187,0.1499
0.096,0.2426,0.05917,0.13511,0.02367,0.22387,0,0.16469,0.15483
0.098,0.24063,0.06312,0.13905,0.03353,0.22584,0,0.15286,0.14892
0.1,0.23471,0.06213,0.13905,0.02465,0.22387,0,0.16075,0.15878
0.102,0.25049,0.04832,0.14497,0.02367,0.22288,0,0.16272,0.15089
0.104,0.23669,0.06312,0.13905,0.03748,0.2288,0,0.14793,0.15089
0.106,0.23373,0.06312,0.143,0.02959,0.22485,0,0.16371,0.14596
0.108,0.23866,0.06114,0.14398,0.02959,0.23077,0,0.14201,0.15779
0.11,0.23767,0.05819,0.14596,0.03254,0.23767,0,0.14892,0.143
0.112,0.23176,0.05917,0.14201,0.03057,0.24162,0,0.14497,0.15385
0.114,0.24063,0.06805,0.13807,0.02663,0.23866,0,0.14398,0.14793
0.116,0.24359,0.0641,0.13708,0.04339,0.23274,0,0.13412,0.14892
0.118,0.23866,0.06509,0.13609,0.03846,0.2288,0,0.1568,0.14004
0.12,0.24162,0.05819,0.14694,0.03353,0.22288,0,0.15089,0.1499
0.122,0.2426,0.06213,0.13905,0.03452,0.22978,0,0.15286,0.143
0.124,0.24162,0.05523,0.14103,0.0286,0.23077,0,0.14892,0.15779
0.126,0.25148,0.05917,0.14004,0.02268,0.22288,0,0.15187,0.15582
0.128,0.2426,0.06016,0.13905,0.03945,0.21105,0,0.16075,0.15089
0.13,0.22781,0.06213,0.143,0.03649,0.22781,0,0.14694,0.15976
0.132,0.23373,0.06213,0.14004,0.0355,0.22485,0,0.14892,0.15878
0.134,0.24359,0.06114,0.14004,0.0355,0.22288,0.00493,0.14103,0.15483
