title,t-SNE
plot_type,scatter
x_label,Component 1
y_label,Component 2
color,#1abc9c
axis_x,axis_y
43.3788,-17.5524
10.6184,5.4947
11.1043,5.54
38.4774,-5.4119
24.8802,4.237
33.329,-4.0818
0.7269,-12.9486
0.7385,-12.9096
33.8414,1.1801
3.3428,6.9979
-12.9784,8.9153
26.158,4.293
43.1851,-19.9153
11.8898,6.0498
12.1984,13.0844
-9.8279,14.4069
29.335,12.7224
-13.4509,9.2498
-12.3734,9.4678
22.4977,5.9187
-10.6422,9.3766
-11.6232,9.4903
-9.7731,10.127
-16.9858,5.207
-15.8278,5.5619
-19.1198,-3.9672
-18.7901,-2.6214
-18.8982,-2.9985
-18.7301,3.0623
-18.9649,-3.3915
-16.8205,2.8723
-18.6669,-1.9639
-16.7271,2.6019
-16.782,1.5663
-24.2748,-36.7736
-23.749,-35.71
-24.9338,-37.1183
-25.4334,-37.2857
-25.841,-39.3397
-26.1565,-38.8244
-25.5288,-39.67
-24.6099,-39.0835
-25.5857,-39.9698
-32.1241,-39.4505
-33.1554,-39.5992
42.8225,-39.3335
30.9152,-11.9495
42.4192,-6.2337
36.5285,-8.9268
20.643,5.8827
-0.5781,8.0611
-9.4726,9.6978
8.9182,8.4512
3.4841,7.888
18.5325,7.4712
6.1613,12.4093
21.5091,5.1575
35.6605,-8.0174
3.8124,6.4617
-12.6579,10.5239
-17.0741,6.0448
13.1337,6.3374
35.8964,-7.8644
-5.3127,19.9237
-18.0603,5.505
39.612,4.992
-0.7378,21.4662
-16.0431,11.9824
-18.2874,5.6954
-11.8025,10.6701
-7.5259,15.4525
-8.3565,18.7477
-19.1129,3.8654
-44.9886,-22.0804
-44.915,-25.6637
-41.4431,-23.8775
-45.2875,-25.3194
-43.4532,-25.5528
-41.9084,-30.8588
-41.8564,-32.0596
-38.2426,-30.0853
-45.7077,-25.2153
-28.9261,-5.7285
-29.5331,-34.8645
-29.1513,-36.4022
-28.0999,-35.3535
-28.457,-38.2027
-29.7256,-37.5889
-27.4503,-40.7898
-27.3827,-40.7433
42.5657,-40.6934
31.0171,-12.0108
27.7649,12.6322
29.2455,3.2089
-0.9925,7.0447
-1.9253,6.8058
-5.1948,6.698
-16.379,4.3688
14.0011,12.0007
21.824,4.7884
11.5051,6.5348
7.5693,5.9133
4.2984,6.5377
7.6048,12.2055
-11.138,10.9044
-9.8116,11.5189
-12.01,12.3044
13.0276,16.7591
-19.1003,9.1172
-17.4182,4.7165
-44.8403,-22.6311
-6.1003,19.2794
-5.8644,19.9008
-10.7682,12.1287
-19.2479,5.0123
-14.0508,18.7887
-15.898,12.6567
-44.6448,-18.6842
-42.6968,-22.9435
-43.213,-27.1572
-26.9202,-18.4408
-27.6762,-25.3183
-35.499,-28.6216
-40.4992,-24.5922
-40.8605,-29.3237
-40.0755,-31.504
-29.4498,-5.9418
-26.8898,-4.2147
-34.2375,-34.3648
-34.521,-35.7182
-3.9957,17.4217
-27.2068,-5.8367
-29.4059,-35.9492
-27.7738,-36.2145
-27.1052,-6.9745
41.8365,-40.716
25.1307,15.3195
24.1824,18.7788
52.4823,1.1721
5.8038,16.554
2.3139,6.6253
1.7331,6.7205
-5.7548,7.0942
-3.6303,17.0062
15.2431,17.4231
24.9071,3.5069
8.7647,7.0894
8.8409,11.9629
6.7899,6.7516
2.7278,8.3538
7.2592,12.6691
-6.8319,17.9934
-6.8345,20.3005
-19.8437,8.9934
-20.8903,1.97
-15.4161,13.3006
45.8991,11.3713
-8.554,20.3987
-22.4745,10.7625
-34.8156,12.7678
27.3493,25.6301
-21.7136,10.3847
-36.9982,-10.7532
-39.7108,-15.6289
-28.044,-18.8748
-1.3857,-21.8707
5.0593,-26.9559
-8.5933,-20.3268
-32.2745,-20.6834
-37.4584,-24.6765
-36.5394,-32.3018
-29.997,-34.7242
-35.1466,-30.6234
-33.2916,-31.1403
-28.1486,-36.4251
-27.7698,-6.5071
-27.5016,-35.1871
-28.5856,-37.0263
-27.9155,-37.3133
-31.0181,-36.4723
39.6081,-39.2449
31.2975,1.3789
2.5482,17.3275
-4.4276,6.3133
-4.8784,6.5522
33.6309,-4.9705
22.8846,4.4616
9.6008,12.3441
16.9255,17.0348
10.5207,11.178
15.4991,7.7918
14.6574,16.9712
12.7371,12.5109
7.5034,7.6656
-11.3334,12.1308
-10.6761,13.3944
-11.616,14.2237
14.2544,28.6608
13.5001,6.7999
-13.7204,10.8224
-16.6263,5.3208
-19.1797,5.3703
18.7487,31.1048
-20.6969,9.0517
-31.2446,-4.8091
-6.3313,20.6628
40.4667,3.7462
-37.3079,-11.0487
-43.1944,-27.8336
-23.3234,7.1343
2.1758,-22.4753
7.799,-30.5946
-1.8754,-20.8602
-27.6613,-25.5593
-37.6561,-26.4004
-35.3361,-32.2321
-38.0953,-23.087
-35.6665,-36.2439
-34.2141,-32.7448
-30.1621,-35.1182
-29.795,-38.467
-33.2863,-32.8475
-27.0161,-37.1754
-26.8597,-4.7001
-28.8845,-37.5213
40.5943,-39.6398
21.3224,13.7196
4.6949,16.3679
20.7794,14.2452
-1.2156,15.7878
2.1532,-17.9159
14.9829,15.0873
14.3882,16.0306
-5.3659,14.9634
29.268,13.2883
3.9347,9.5974
6.1373,7.7194
2.2325,8.5959
8.5604,12.3373
7.2738,9.1658
13.5215,17.2706
-6.2065,19.7255
-8.404,20.5788
13.0475,15.4062
12.3298,18.7228
8.7698,13.1158
-20.6721,2.3907
-18.943,6.5542
-35.4213,12.2553
17.6391,30.3826
-30.037,3.3969
-22.9599,12.0683
-5.081,20.7403
35.9128,19.613
-28.3048,-18.6103
-10.8413,-20.6066
-4.3601,-19.6296
-10.7269,-20.0735
-36.0324,-28.192
-39.2227,-29.4499
-36.3615,-31.3615
-39.6248,-29.4845
-35.55,-34.989
-33.8007,-28.7992
-32.4491,-29.3822
-31.3492,-34.6557
-30.6664,-38.5731
-32.0045,-38.0223
-27.9498,-38.2118
-26.8435,-5.4011
39.7329,-38.7645
20.9097,7.6883
-5.4481,7.8947
-4.5446,12.0429
-4.5164,19.765
9.9392,14.1396
0.0209,15.3467
-2.0711,16.0899
-2.9767,16.3306
17.6027,7.1651
16.6071,8.5678
24.3466,4.6221
7.8311,8.8904
-5.8863,16.794
-7.8595,20.1547
-7.258,19.852
-19.8474,6.5523
-11.4755,14.4296
19.7507,27.421
-1.1362,28.4072
-28.159,19.0009
-25.8469,11.3811
-31.0656,18.522
-54.2163,-3.832
-49.1689,-7.7567
-47.8619,-14.392
-45.0624,-21.4109
-9.8001,29.0568
29.0581,24.9879
-12.2481,29.7735
-29.4322,-19.8421
-24.5426,5.267
-30.1616,-22.4163
-30.7893,-23.1893
-40.4429,-25.2346
-40.5864,-31.7373
-41.4806,-31.7399
-36.3415,-32.1438
-38.4198,-33.255
-35.4883,-32.971
-33.8824,-35.0596
-33.034,-37.4657
-32.7708,-37.7057
-32.3867,-37.7724
-27.211,-7.1277
40.3692,-36.8779
43.7022,13.9839
24.6326,18.3737
-5.4722,8.5468
-0.922,8.5868
10.4612,15.2966
29.9355,4.0015
6.0377,7.8539
11.1326,5.4164
8.624,13.9064
6.847,7.7023
23.526,5.1751
11.7511,15.2996
2.6802,9.3368
-5.5665,21.593
-23.3505,12.3694
19.9357,29.7193
-20.205,3.4025
-35.6124,13.2423
-35.2893,-0.6986
19.3384,31.0417
46.3816,11.0316
-41.8613,-2.0829
-49.7834,-4.7764
-37.9782,-2.0097
-35.9314,-3.0372
-40.8127,-1.2726
-31.9231,-3.0994
-27.1636,3.0754
33.0932,24.5245
-0.8973,-19.0509
-0.8009,-19.9537
-10.5478,-19.5512
-40.5125,-26.9448
-40.2359,-29.0984
-34.1466,-21.7746
-32.6146,-16.0306
-33.5115,-28.3558
-32.0636,-32.7865
-32.5614,-27.9141
-32.7174,-34.222
-31.2758,-30.2095
-30.0608,-36.5262
-31.6785,-32.27
-29.4454,-32.8682
40.3311,-37.71
41.0853,8.2237
3.5791,19.7816
4.3333,16.8144
-5.7166,8.8751
16.4387,16.3896
44.668,-4.7773
17.9379,9.5357
7.9697,10.4647
9.8715,11.8875
30.3102,4.8553
11.1939,17.2119
1.8257,29.1977
11.7585,17.7947
-8.6997,31.6004
-13.4537,19.5246
7.0051,37.5333
-13.4757,18.9447
-22.3639,21.779
