# m/z,Intensity
567.0000,0.9241
587.3000,0.3469
588.8000,0.8000
589.1000,0.5457
604.7000,0.9460
616.6000,0.2434
618.8000,0.4566
619.2000,0.0170
620.7000,0.9084
621.2000,0.8376
621.6000,1.0000
622.0000,0.9337
622.7000,0.1857
636.3000,0.5071
638.4000,0.2965
639.0000,0.9882
639.3000,1.8805
639.5000,1.0714
640.1000,0.7612
640.4000,0.1274
640.7000,0.0250
642.0000,0.0176
642.2000,0.6381
643.4000,0.4435
644.9000,0.6388
645.0000,0.3077
649.7000,0.7858
650.3000,0.5600
655.4000,0.4442
656.4000,0.8188
656.6000,1.1459
656.8000,0.7306
657.0000,0.8935
657.1000,0.5329
657.2000,1.9605
657.4000,0.1859
657.6000,0.3376
657.8000,1.5165
657.9000,3.8884
658.0000,5.7442
658.1000,2.8058
658.2000,1.0000
658.5000,1.6047
658.6000,1.9686
658.7000,1.4023
658.9000,0.2814
659.0000,1.0000
659.1000,2.0000
659.3000,1.0000
659.7000,0.7860
659.8000,0.2314
660.3000,0.4576
662.5000,0.5465
662.6000,0.0779
662.7000,0.6209
662.8000,1.0000
663.0000,0.7791
663.3000,1.0000
663.4000,0.3485
663.6000,0.5849
664.1000,0.0547
666.4000,0.0372
667.9000,0.5264
668.4000,0.0093
670.8000,0.3070
672.6000,0.8069
672.7000,0.6616
673.3000,0.4372
674.0000,0.6437
674.2000,0.5512
674.3000,1.0000
674.6000,0.6356
674.9000,0.7103
676.0000,0.3851
676.1000,0.0601
676.4000,0.3770
676.6000,0.2552
676.7000,0.6885
676.8000,0.1291
676.9000,0.8552
677.0000,1.0115
677.1000,3.3172
677.2000,1.0000
677.3000,0.6925
677.4000,0.2682
677.6000,0.8000
677.7000,1.0333
677.8000,5.5517
677.9000,12.7770
678.0000,10.7356
678.1000,6.9977
678.2000,2.4862
678.3000,0.5931
678.4000,1.0448
678.5000,0.8966
678.6000,1.3746
678.7000,0.2977
678.8000,1.0000
678.9000,2.0000
679.0000,0.5632
679.1000,0.0529
679.2000,0.6023
679.3000,0.1770
680.1000,0.8540
680.2000,0.4437
680.6000,1.0000
680.9000,1.1310
681.2000,1.0000
681.5000,1.1322
681.9000,0.4805
682.0000,1.0000
682.2000,0.3230
682.4000,1.0560
682.6000,0.7333
682.9000,0.4517
683.0000,1.0000
683.4000,1.5875
683.5000,0.1954
683.6000,1.0000
683.7000,0.4207
683.8000,0.9723
683.9000,1.2805
684.0000,0.7471
684.9000,1.0000
685.0000,1.0000
685.3000,0.2943
685.9000,0.0736
686.0000,0.6648
686.4000,0.1805
688.1000,0.9920
690.0000,1.3864
690.3000,0.7341
690.4000,1.8552
691.0000,0.8750
692.4000,0.8012
